id,付款编号,供应商编号,供应商名称,供应商简称,供应商类别,费用类型,付款金额,币种,付款状态,发票号码,开票日期,付款到期日,实际付款日期,收款银行,收款账户尾号,申请部门,申请人,审批状态,备注
1,PAY-20250001,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,25600000.0,CNY,已付款,INV-202500000,2025-05-15,2025-07-15,2025-06-30,工商银行,1023,采购部,王磊,已通过,双门冰箱压缩机年度框架协议 Q2交货
2,PAY-20250002,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,18300000.0,CNY,待审批,FP-202500001,2026-02-01,2026-05-01,,工商银行,1023,采购部,李华,待审批,高端对开门冰箱压缩机批量采购
3,PAY-20250003,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,8900000.0,CNY,已逾期,FP-202500002,2025-10-01,2025-12-01,,建设银行,1589,采购部,李华,已通过,洗碗机专用压缩机尾款
4,PAY-20250004,SUP002,宝山钢铁股份有限公司,宝钢,原材料,原材料采购,45800000.0,CNY,已付款,INV-202500003,2025-03-01,2025-06-01,2025-05-15,工商银行,1023,采购部,李华,已通过,家电用镀锌钢板 Q2 批次
5,PAY-20250005,SUP002,宝山钢铁股份有限公司,宝钢,原材料,原材料采购,52300000.0,CNY,审批中,FP-202500004,2026-04-01,2026-07-01,,工商银行,1023,采购部,王磊,待审批,冰箱外壳用彩涂板年度合同首批
6,PAY-20250006,SUP003,巴斯夫（中国）有限公司,巴斯夫,原材料,原材料采购,12800000.0,CNY,已付款,INV-202500005,2025-06-10,2025-08-10,2025-07-25,中国银行,1053,采购部,张明,已通过,保温泡沫材料 H1 批次
7,PAY-20250007,SUP003,巴斯夫（中国）有限公司,巴斯夫,原材料,原材料采购,9500000.0,CNY,待审批,FP-202500006,2026-01-15,2026-04-15,,中国银行,1053,采购部,李华,待审批,工程塑料粒子年度框架
8,PAY-20250008,SUP004,京东家电,京东,渠道,渠道返利,3500000.0,CNY,已付款,INV-202500007,2025-07-01,2025-08-01,2025-07-20,招商银行,1367,市场部,陈晓,已通过,618大促返利及营销费用
9,PAY-20250009,SUP004,京东家电,京东,渠道,渠道返利,5200000.0,CNY,审批中,FP-202500008,2025-12-15,2026-01-15,,招商银行,1367,市场部,陈晓,待审批,双11/双12促销活动费用
10,PAY-20250010,SUP005,苏宁易购集团股份有限公司,苏宁,渠道,渠道返利,2800000.0,CNY,已付款,INV-202500009,2025-08-01,2025-09-01,2025-08-20,招商银行,1367,市场部,赵婷,已通过,苏宁线下门店陈列及促销费
11,PAY-20250011,SUP005,苏宁易购集团股份有限公司,苏宁,渠道,渠道返利,1800000.0,CNY,已逾期,FP-202500010,2025-11-01,2025-12-01,,招商银行,1367,市场部,赵婷,已通过,国庆促销活动尾款
